CEP Inicial,CEP Final,Taxa,
74001959,74063010,"R$ 5,00",
74063020,74063320,"R$ 8,00",
74063321,74063327,"R$ 5,00",
74063330,74063420,"R$ 8,00",
74063900,74063970,"R$ 5,00",
74070010,74075500,"R$ 5,00",
74070100,74070100,"R$ 0,00",CREDIARIO
74075210,74075210,"R$ 0,00",CONVENIO
74080010,74093350,"R$ 5,00",
74093210,74093210,"R$ 0,00",CONVENIO
74110010,74115913,"R$ 5,00",
74110090,74110090,"R$ 0,00",CONVENIO
74110130,74110130,"R$ 0,00",CONVENIO
74115030,74115030,"R$ 0,00",CONVENIO
74115060,74115060,"R$ 0,00",CONVENIO
74115914,74115914,"R$ 5,00",
74115924,74140160,"R$ 5,00",
74150020,74180918,"R$ 5,00",
74150150,74150150,"R$ 0,00",CONVENIO
74210005,74210100,"R$ 8,00",
74210101,74210101,"R$ 8,00",
74210102,74210103,"R$ 8,00",
74210104,74210104,"R$ 8,00",
74210105,74210105,"R$ 8,00",
74210106,74210108,"R$ 12,00",
74210109,74210110,"R$ 8,00",
74210112,74210112,"R$ 8,00",
74210113,74210120,"R$ 8,00",
74210121,74210121,"R$ 8,00",
74210123,74210123,"R$ 8,00",
74210129,74210129,"R$ 8,00",
74210130,74210355,"R$ 8,00",
74215005,74215901,"R$ 8,00",
74215902,74215902,"R$ 5,00",
74223010,74230220,"R$ 8,00",
74230250,74230285,"R$ 8,00",
74230300,74230305,"R$ 8,00",
74230350,74230375,"R$ 8,00",
74230901,74230903,"R$ 8,00",
74250010,74265970,"R$ 12,00",
74270020,74275270,"R$ 8,00",
74290030,74290215,"R$ 8,00",
74290290,74290290,"R$ 8,00",
74323020,74323090,"R$ 12,00",
74323091,74323095,"R$ 12,00",
74334002,74334002,"R$ 12,00",
74335010,74335165,"R$ 12,00",
74335900,74335900,"R$ 12,00",
74340010,74340180,"R$ 12,00",
74340010,74340180,"R$ 12,00",
74340190,74340570,"R$ 12,00",
74340190,74340570,"R$ 12,00",
74340900,74340900,"R$ 12,00",
74340900,74340900,"R$ 12,00",
74343010,74850328,"R$ 15,00",
74351003,74351003,"R$ 0,00",CONVENIO
74354491,74354491,"R$ 15,00",
74354500,74354590,"R$ 15,00",
74354685,74354699,"R$ 15,00",
74355010,74355010,"R$ 15,00",
74355020,74355020,"R$ 15,00",
74355030,74355030,"R$ 15,00",
74355040,74355040,"R$ 15,00",
74355042,74355070,"R$ 15,00",
74355075,74355230,"R$ 15,00",
74355540,74355555,"R$ 15,00",
74356100,74356165,"R$ 15,00",
74356400,74356547,"R$ 15,00",
74363010,74363260,"R$ 15,00",
74366201,74366240,"R$ 15,00",
74369001,74369045,"R$ 15,00",
74370457,74370469,"R$ 15,00",
74370471,74370471,"R$ 15,00",
74370484,74370520,"R$ 15,00",
74370555,74370570,"R$ 8,00",
74370571,74370582,"R$ 15,00",
74370644,74370699,"R$ 15,00",
74370881,74370882,"R$ 15,00",
74371631,74371640,"R$ 15,00",
74373110,74373290,"R$ 15,00",
74375010,74375620,"R$ 15,00",
74375630,74375740,"R$ 15,00",
74375741,74375750,"R$ 12,00",
74375756,74375757,"R$ 12,00",
74375760,74375774,"R$ 12,00",
74390110,74390120,"R$ 15,00",
74390110,74390120,"R$ 15,00",
74390230,74390260,"R$ 15,00",
74390230,74390260,"R$ 15,00",
74390290,74390340,"R$ 15,00",
74390290,74390340,"R$ 15,00",
74390350,74390360,"R$ 15,00",
74390350,74390360,"R$ 15,00",
74390600,74390630,"R$ 15,00",
74390640,74390640,"R$ 15,00",
74390640,74390640,"R$ 15,00",
74390650,74390669,"R$ 15,00",
74390720,74390720,"R$ 15,00",
74390750,74390750,"R$ 15,00",
74390770,74390770,"R$ 15,00",
74390858,74390860,"R$ 15,00",
74390858,74390860,"R$ 15,00",
74391400,74391530,"R$ 8,00",
74391550,74391670,"R$ 15,00",
74391700,74391730,"R$ 15,00",
74391750,74391780,"R$ 15,00",
74391800,74391845,"R$ 15,00",
74392105,74392180,"R$ 15,00",
74393600,74393830,"R$ 15,00",
74394200,74394270,"R$ 15,00",
74394300,74394345,"R$ 15,00",
74394350,74394499,"R$ 15,00",
74394500,74394685,"R$ 15,00",
74400000,74400000,"R$ 0,00",CONVENIO
74403010,74410130,"R$ 8,00",
74413030,74413040,"R$ 8,00",
74413050,74413050,"R$ 8,00",
74413050,74413050,"R$ 8,00",
74413064,74413176,"R$ 12,00",
74413180,74413180,"R$ 8,00",
74413190,74413190,"R$ 8,00",
74413200,74413200,"R$ 8,00",
74413210,74413210,"R$ 8,00",
74413230,74413230,"R$ 8,00",
74413240,74413270,"R$ 8,00",
74413240,74413270,"R$ 8,00",
74413280,74413280,"R$ 8,00",
74413290,74413300,"R$ 8,00",
74413290,74413300,"R$ 8,00",
74413310,74413320,"R$ 8,00",
74413330,74413340,"R$ 8,00",
74413330,74413340,"R$ 8,00",
74413350,74413350,"R$ 8,00",
74413360,74413360,"R$ 8,00",
74413360,74413360,"R$ 8,00",
74413370,74413400,"R$ 8,00",
74415010,74415440,"R$ 12,00",
74415450,74415460,"R$ 12,00",
74415472,74415472,"R$ 12,00",
74415500,74415550,"R$ 12,00",
74415900,74415900,"R$ 12,00",
74420010,74420010,"R$ 12,00",
74420011,74420020,"R$ 12,00",
74420030,74420115,"R$ 12,00",
74420130,74420180,"R$ 12,00",
74420190,74420195,"R$ 12,00",
74420200,74420210,"R$ 12,00",
74420212,74420278,"R$ 12,00",
74420280,74420280,"R$ 12,00",
74420290,74420310,"R$ 12,00",
74420320,74420330,"R$ 12,00",
74420340,74420340,"R$ 12,00",
74420350,74420350,"R$ 12,00",
74420360,74420360,"R$ 12,00",
74420450,74420485,"R$ 12,00",
74420550,74420565,"R$ 12,00",
74420900,74423250,"R$ 12,00",
74423270,74423270,"R$ 12,00",
74423280,74423280,"R$ 12,00",
74423290,74423300,"R$ 12,00",
74423310,74423377,"R$ 12,00",
74423380,74423380,"R$ 12,00",
74423390,74423400,"R$ 12,00",
74423420,74423420,"R$ 12,00",
74423430,74423430,"R$ 12,00",
74423440,74423440,"R$ 12,00",
74423450,74423450,"R$ 12,00",
74423460,74423460,"R$ 12,00",
74423470,74423490,"R$ 12,00",
74423500,74423543,"R$ 12,00",
74423550,74423570,"R$ 12,00",
74423580,74423580,"R$ 12,00",
74423590,74423600,"R$ 12,00",
74423900,74425030,"R$ 12,00",
74425040,74425060,"R$ 12,00",
74425070,74425075,"R$ 12,00",
74425080,74425105,"R$ 12,00",
74425110,74425145,"R$ 12,00",
74425160,74425190,"R$ 12,00",
74425197,74425197,"R$ 12,00",
74425200,74425200,"R$ 12,00",
74425210,74425670,"R$ 12,00",
74425901,74425901,"R$ 12,00",
74430010,74430490,"R$ 12,00",
74430010,74430490,"R$ 12,00",
74430901,74430970,"R$ 12,00",
74430901,74430970,"R$ 12,00",
74433020,74433240,"R$ 12,00",
74435010,74435970,"R$ 8,00",
74440010,74440740,"R$ 12,00",
74440741,74440745,"R$ 8,00",
74440800,74440840,"R$ 8,00",
74440959,74440970,"R$ 12,00",
74441000,74441015,"R$ 8,00",
74445300,74445305,"R$ 15,00",
74445500,74445520,"R$ 12,00",
74450010,74450971,"R$ 12,00",
74453460,74453520,"R$ 15,00",
74453540,74453660,"R$ 15,00",
74455010,74455020,"R$ 12,00",
74455030,74455290,"R$ 12,00",
74455437,74455437,"R$ 12,00",
74455500,74455575,"R$ 12,00",
74455650,74455662,"R$ 12,00",
74460010,74460720,"R$ 15,00",
74460010,74460720,"R$ 15,00",
74460721,74460840,"R$ 15,00",
74460721,74460840,"R$ 15,00",
74461005,74461025,"R$ 15,00",
74461100,74461198,"R$ 15,00",
74461350,74461410,"R$ 15,00",
74461450,74461480,"R$ 15,00",
74461500,74461522,"R$ 15,00",
74463010,74463010,"R$ 15,00",
74463015,74463015,"R$ 15,00",
74463015,74463015,"R$ 15,00",
74463020,74463135,"R$ 15,00",
74463150,74463335,"R$ 15,00",
74463340,74463830,"R$ 15,00",
74463340,74463830,"R$ 15,00",
74463831,74463838,"R$ 15,00",
74463840,74463875,"R$ 15,00",
74463880,74463885,"R$ 15,00",
74464000,74464075,"R$ 15,00",
74464150,74464175,"R$ 15,00",
74470050,74470050,"R$ 15,00",
74470065,74470065,"R$ 15,00",
74470075,74470285,"R$ 15,00",
74470295,74470330,"R$ 15,00",
74470370,74470400,"R$ 15,00",
74470500,74470560,"R$ 15,00",
74470600,74470680,"R$ 15,00",
74470800,74470810,"R$ 15,00",
74470800,74470810,"R$ 15,00",
74473010,74473793,"R$ 15,00",
74474250,74474259,"R$ 15,00",
74475250,74475341,"R$ 15,00",
74475342,74475375,"R$ 15,00",
74475400,74475477,"R$ 15,00",
74475485,74475500,"R$ 15,00",
74475700,74475784,"R$ 15,00",
74477001,74477057,"R$ 15,00",
74477114,74477146,"R$ 15,00",
74477147,74477147,"R$ 15,00",
74477148,74477183,"R$ 15,00",
74477191,74477192,"R$ 15,00",
74477200,74477200,"R$ 15,00",
74477201,74477292,"R$ 15,00",
74477401,74477451,"R$ 15,00",
74477502,74477508,"R$ 15,00",
74480010,74480010,"R$ 15,00",
74480040,74480040,"R$ 15,00",
74480080,74480120,"R$ 15,00",
74480140,74480325,"R$ 15,00",
74480959,74480970,"R$ 15,00",
74482392,74482414,"R$ 15,00",
74482420,74482444,"R$ 15,00",
74482530,74482532,"R$ 15,00",
74483002,74483009,"R$ 15,00",
74483010,74483010,"R$ 15,00",
74483012,74483019,"R$ 15,00",
74483020,74483020,"R$ 15,00",
74483021,74483027,"R$ 15,00",
74483030,74483030,"R$ 15,00",
74483031,74483037,"R$ 15,00",
74483040,74483040,"R$ 15,00",
74483041,74483049,"R$ 15,00",
74483050,74483050,"R$ 15,00",
74483051,74483059,"R$ 15,00",
74483060,74483110,"R$ 15,00",
74483111,74483117,"R$ 15,00",
74483130,74483600,"R$ 15,00",
74483601,74483620,"R$ 15,00",
74484010,74484060,"R$ 15,00",
74484010,74484060,"R$ 15,00",
74484010,74484060,"R$ 15,00",
74484070,74484110,"R$ 15,00",
74484115,74484115,"R$ 15,00",
74484120,74484200,"R$ 15,00",
74484205,74484205,"R$ 15,00",
74484210,74484215,"R$ 15,00",
74484220,74484240,"R$ 15,00",
74484241,74484241,"R$ 15,00",
74484243,74484255,"R$ 15,00",
74484270,74484340,"R$ 15,00",
74484350,74484350,"R$ 15,00",
74484352,74484354,"R$ 15,00",
74484360,74484370,"R$ 15,00",
74484372,74484379,"R$ 15,00",
74484380,74484390,"R$ 15,00",
74484500,74484515,"R$ 15,00",
74484790,74484811,"R$ 15,00",
74485760,74485776,"R$ 15,00",
74485760,74485776,"R$ 15,00",
74485800,74485815,"R$ 15,00",
74485800,74485815,"R$ 15,00",
74486300,74486340,"R$ 15,00",
74486350,74486380,"R$ 15,00",
74486400,74486430,"R$ 15,00",
74486431,74486433,"R$ 15,00",
74487000,74487215,"R$ 15,00",
74490090,74490205,"R$ 15,00",
74490207,74490217,"R$ 15,00",
74490220,74490220,"R$ 15,00",
74490221,74490221,"R$ 15,00",
74490225,74490225,"R$ 15,00",
74490229,74490229,"R$ 15,00",
74490230,74490230,"R$ 15,00",
74490233,74490234,"R$ 15,00",
74490235,74490235,"R$ 15,00",
74490236,74490239,"R$ 15,00",
74490240,74490240,"R$ 15,00",
74490241,74490249,"R$ 15,00",
74490250,74490250,"R$ 15,00",
74490251,74490259,"R$ 15,00",
74490260,74490260,"R$ 15,00",
74490261,74490269,"R$ 15,00",
74490270,74490270,"R$ 15,00",
74490271,74490279,"R$ 15,00",
74490280,74490280,"R$ 15,00",
74490281,74490289,"R$ 15,00",
74490290,74490290,"R$ 15,00",
74490293,74490297,"R$ 15,00",
74490300,74490570,"R$ 15,00",
74490630,74490656,"R$ 15,00",
74490630,74490656,"R$ 15,00",
74490820,74490847,"R$ 15,00",
74490855,74490894,"R$ 15,00",
74491070,74491099,"R$ 15,00",
74491100,74491145,"R$ 15,00",
74492000,74492110,"R$ 15,00",
74492120,74492210,"R$ 15,00",
74492120,74492210,"R$ 15,00",
74492280,74492310,"R$ 15,00",
74493010,74493190,"R$ 15,00",
74493200,74493200,"R$ 15,00",
74493210,74493210,"R$ 15,00",
74493220,74493750,"R$ 15,00",
74493751,74493880,"R$ 15,00",
74493959,74493959,"R$ 15,00",
74494070,74494091,"R$ 15,00",
74494070,74494091,"R$ 15,00",
74494251,74494305,"R$ 15,00",
74494350,74494399,"R$ 15,00",
74495010,74495010,"R$ 15,00",
74495012,74495018,"R$ 15,00",
74495020,74495020,"R$ 15,00",
74495022,74495028,"R$ 15,00",
74495030,74495030,"R$ 15,00",
74495032,74495038,"R$ 15,00",
74495040,74495710,"R$ 15,00",
74495841,74495858,"R$ 15,00",
74495841,74495858,"R$ 15,00",
74495841,74495858,"R$ 15,00",
74495870,74495897,"R$ 15,00",
74495970,74495970,"R$ 15,00",
74496000,74496080,"R$ 15,00",
74496100,74496215,"R$ 15,00",
74496300,74496346,"R$ 15,00",
74497000,74497052,"R$ 8,00",
74501959,74523190,"R$ 8,00",
74523220,74523315,"R$ 12,00",
74523320,74523330,"R$ 8,00",
74523340,74523340,"R$ 12,00",
74523380,74523385,"R$ 8,00",
74523390,74523390,"R$ 15,00",
74523400,74523400,"R$ 12,00",
74523410,74523470,"R$ 8,00",
74523480,74523560,"R$ 8,00",
74523570,74525970,"R$ 8,00",
74530010,74530170,"R$ 8,00",
74530240,74530310,"R$ 8,00",
74530340,74530340,"R$ 8,00",
